（１）国指定,,,,,,,,,,,,,,,,
年,総数,有形文化財,,,,,,,"無形
文化財",民俗文化財,,記念物,,,"文化的
景観",伝統的建造物群保存地区
,,建造物,絵画,彫刻,工芸,"書籍・
古文書","考古
資料","歴史
資料",,有形,無形,史跡,名勝,"天然
記念物",,
,,,,,,,,,,,,,,,,
平成18年,7,2,0,0,0,0,0,0,0,1,2,1,0,1,0,0
平成19年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成20年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成21年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成22年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成23年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成24年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成25年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成26年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成27年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成28年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成29年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
平成30年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
令和元年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
令和2年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
令和3年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
令和4年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
令和5年,8,2,0,0,0,0,0,0,0,1,2,1,0,2,0,0
,,,,,,,,,,,,,,,,
（2）県指定,,,,,,,,,,,,,,,,
年,総数,有形文化財,,,,,,,"無形
文化財",民俗文化財,,記念物,,,"文化的
景観",伝統的建造物群保存地区
,,建造物,絵画,彫刻,工芸,"書籍・
古文書","考古
資料","歴史
資料",,有形,無形,史跡,名勝,"天然
記念物",,
,,,,,,,,,,,,,,,,
平成18年,18,2,2,6,1,1,1,0,0,1,1,0,0,3,0,0
平成19年,19,2,2,7,1,1,1,0,0,1,1,0,0,3,0,0
平成20年,19,2,2,7,1,1,1,0,0,1,1,0,0,3,0,0
平成21年,19,2,2,7,1,1,1,0,0,1,1,0,0,3,0,0
平成22年,20,2,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成23年,20,2,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成24年,20,2,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成25年,20,2,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成26年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成27年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成28年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成29年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
平成30年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
令和元年,20,3,2,7,1,1,1,0,0,1,1,0,0,3,0,0
令和2年,20,3,2,7,1,1,1,0,0,1,1,0,0,3,0,0
令和3年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
令和4年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
令和5年,21,3,2,7,1,1,1,0,0,1,1,0,0,4,0,0
,,,,,,,,,,,,,,,,
（3）市指定,,,,,,,,,,,,,,,,
年,総数,有形文化財,,,,,,,"無形
文化財",民俗文化財,,記念物,,,"文化的
景観",伝統的建造物群保存地区
,,建造物,絵画,彫刻,工芸,"書籍・
古文書","考古
資料","歴史
資料",,有形,無形,史跡,名勝,"天然
記念物",,
,,,,,,,,,,,,,,,,
平成18年,35,3,4,1,0,1,3,11,1,3,2,2,0,4,0,0
平成19年,38,3,4,1,0,1,3,13,1,4,2,2,0,4,0,0
平成20年,40,3,4,1,0,1,3,15,1,4,2,2,0,4,0,0
平成21年,41,3,4,1,0,1,3,16,1,4,2,2,0,4,0,0
平成22年,41,3,4,1,0,1,3,16,1,4,2,2,0,4,0,0
平成23年,42,3,4,1,0,1,3,16,1,4,3,2,0,4,0,0
平成24年,42,3,4,1,0,1,3,16,1,4,3,2,0,4,0,0
平成25年,42,3,4,1,0,1,3,16,1,4,3,2,0,4,0,0
平成26年,42,2,4,1,0,1,3,17,1,4,3,2,0,4,0,0
平成27年,42,2,4,1,0,1,3,17,1,4,3,2,0,4,0,0
平成28年,43,2,4,1,0,1,3,17,1,4,3,2,0,5,0,0
平成29年,43,2,4,1,0,1,3,17,1,4,3,2,0,5,0,0
平成30年,44,2,4,1,0,1,4,17,1,4,3,2,0,5,0,0
令和元年,44,2,4,1,0,1,4,18,1,4,3,2,0,5,0,0
令和2年,45,2,4,1,0,1,4,18,1,4,3,2,0,5,0,0
令和3年,45,2,4,1,0,1,4,18,1,4,3,2,0,5,0,0
令和4年,45,2,4,1,0,1,4,18,1,4,3,2,0,5,0,0
令和5年,46,2,4,1,0,1,4,18,1,5,3,2,0,5,0,0
,,,,,,,,,,,,,秋田県男鹿市文化スポーツ課作成,,,
